Process_Name,P_id,Process_Username
System Idle Process,0,NT AUTHORITY\SYSTEM
System,4,NT AUTHORITY\SYSTEM
fontdrvhost.exe,72,Access Denied
Registry,96,Access Denied
chrome.exe,220,DESKTOP-JV65JC9\SPD
taskhostw.exe,356,DESKTOP-JV65JC9\SPD
smss.exe,400,Access Denied
Code.exe,548,DESKTOP-JV65JC9\SPD
svchost.exe,556,Access Denied
csrss.exe,608,Access Denied
wininit.exe,708,Access Denied
dwm.exe,740,Access Denied
services.exe,780,Access Denied
lsass.exe,796,Access Denied
svchost.exe,884,Access Denied
svchost.exe,940,Access Denied
chrome.exe,964,DESKTOP-JV65JC9\SPD
svchost.exe,996,Access Denied
WUDFHost.exe,1004,Access Denied
flux.exe,1036,DESKTOP-JV65JC9\SPD
svchost.exe,1064,Access Denied
svchost.exe,1112,Access Denied
svchost.exe,1136,Access Denied
svchost.exe,1192,Access Denied
chrome.exe,1280,DESKTOP-JV65JC9\SPD
svchost.exe,1332,Access Denied
svchost.exe,1380,Access Denied
dllhost.exe,1404,Access Denied
svchost.exe,1428,Access Denied
svchost.exe,1488,Access Denied
svchost.exe,1492,Access Denied
nvxdsync.exe,1548,Access Denied
svchost.exe,1576,Access Denied
cmd.exe,1632,DESKTOP-JV65JC9\SPD
svchost.exe,1644,Access Denied
Microsoft.Photos.exe,1696,DESKTOP-JV65JC9\SPD
vmware-usbarbitrator64.exe,1700,Access Denied
svchost.exe,1712,Access Denied
svchost.exe,1800,Access Denied
svchost.exe,1808,Access Denied
QMEmulatorService.exe,1812,Access Denied
LockApp.exe,1896,DESKTOP-JV65JC9\SPD
svchost.exe,1932,Access Denied
chrome.exe,2044,DESKTOP-JV65JC9\SPD
svchost.exe,2072,Access Denied
Memory Compression,2124,Access Denied
svchost.exe,2168,Access Denied
svchost.exe,2180,Access Denied
svchost.exe,2212,Access Denied
svchost.exe,2220,Access Denied
svchost.exe,2244,Access Denied
chrome.exe,2256,DESKTOP-JV65JC9\SPD
svchost.exe,2320,Access Denied
WmiPrvSE.exe,2336,Access Denied
igfxCUIService.exe,2344,Access Denied
svchost.exe,2392,Access Denied
svchost.exe,2456,Access Denied
chrome.exe,2476,DESKTOP-JV65JC9\SPD
svchost.exe,2520,Access Denied
sihost.exe,2568,DESKTOP-JV65JC9\SPD
svchost.exe,2596,Access Denied
svchost.exe,2672,Access Denied
svchost.exe,2824,Access Denied
svchost.exe,2860,Access Denied
javaw.exe,2880,DESKTOP-JV65JC9\SPD
MicrosoftEdgeSH.exe,2944,DESKTOP-JV65JC9\SPD
sppsvc.exe,2992,Access Denied
chrome.exe,3036,DESKTOP-JV65JC9\SPD
svchost.exe,3052,Access Denied
vmware-authd.exe,3184,Access Denied
oracle.exe,3192,Access Denied
svchost.exe,3252,Access Denied
chrome.exe,3276,DESKTOP-JV65JC9\SPD
svchost.exe,3292,Access Denied
svchost.exe,3328,Access Denied
AsLdrSrv.exe,3344,Access Denied
svchost.exe,3360,Access Denied
svchost.exe,3372,Access Denied
spoolsv.exe,3460,Access Denied
svchost.exe,3512,Access Denied
svchost.exe,3536,Access Denied
YourPhone.exe,3560,DESKTOP-JV65JC9\SPD
svchost.exe,3572,Access Denied
svchost.exe,3632,Access Denied
AsusTPCenter.exe,3640,DESKTOP-JV65JC9\SPD
winlogon.exe,3648,Access Denied
svchost.exe,3656,Access Denied
svchost.exe,3688,Access Denied
dasHost.exe,3704,Access Denied
vmnetdhcp.exe,3732,Access Denied
AdminService.exe,3780,Access Denied
svchost.exe,3796,Access Denied
SearchUI.exe,3804,DESKTOP-JV65JC9\SPD
svchost.exe,3816,Access Denied
svchost.exe,3836,Access Denied
