Process_Name,P_id,Process_Username
System Idle Process,0,NT AUTHORITY\SYSTEM
System,4,NT AUTHORITY\SYSTEM
fontdrvhost.exe,8,Access Denied
Registry,96,Access Denied
fontdrvhost.exe,372,Access Denied
smss.exe,404,Access Denied
WUDFHost.exe,524,Access Denied
csrss.exe,608,Access Denied
wininit.exe,708,Access Denied
csrss.exe,720,Access Denied
javaw.exe,744,DESKTOP-JV65JC9\SPD
winlogon.exe,816,Access Denied
services.exe,860,Access Denied
lsass.exe,872,Access Denied
svchost.exe,992,Access Denied
svchost.exe,1016,Access Denied
svchost.exe,1048,Access Denied
svchost.exe,1096,Access Denied
dwm.exe,1192,Access Denied
esif_uf.exe,1208,Access Denied
svchost.exe,1228,Access Denied
svchost.exe,1252,Access Denied
browser_broker.exe,1300,DESKTOP-JV65JC9\SPD
svchost.exe,1308,Access Denied
svchost.exe,1400,Access Denied
opera.exe,1408,DESKTOP-JV65JC9\SPD
NisSrv.exe,1448,Access Denied
svchost.exe,1476,Access Denied
svchost.exe,1536,Access Denied
svchost.exe,1564,DESKTOP-JV65JC9\SPD
SecurityHealthSystray.exe,1580,DESKTOP-JV65JC9\SPD
svchost.exe,1676,Access Denied
GoogleCrashHandler.exe,1688,Access Denied
igfxTray.exe,1704,DESKTOP-JV65JC9\SPD
svchost.exe,1712,Access Denied
svchost.exe,1760,Access Denied
svchost.exe,1788,Access Denied
svchost.exe,1792,Access Denied
dllhost.exe,1824,DESKTOP-JV65JC9\SPD
esif_assist_64.exe,1884,DESKTOP-JV65JC9\SPD
svchost.exe,1908,Access Denied
svchost.exe,1928,Access Denied
svchost.exe,2012,Access Denied
chrome.exe,2028,DESKTOP-JV65JC9\SPD
MicrosoftEdgeCP.exe,2084,DESKTOP-JV65JC9\SPD
svchost.exe,2124,Access Denied
AppMarket.exe,2148,Access Denied
igfxCUIService.exe,2156,Access Denied
svchost.exe,2168,Access Denied
AsusTPHelper.exe,2176,DESKTOP-JV65JC9\SPD
nvvsvc.exe,2180,Access Denied
SkypeBackgroundHost.exe,2188,DESKTOP-JV65JC9\SPD
DMedia.exe,2192,DESKTOP-JV65JC9\SPD
svchost.exe,2212,Access Denied
nvxdsync.exe,2232,Access Denied
nvvsvc.exe,2240,Access Denied
QMEmulatorService.exe,2280,Access Denied
svchost.exe,2300,Access Denied
svchost.exe,2384,Access Denied
AdminService.exe,2444,Access Denied
svchost.exe,2448,Access Denied
svchost.exe,2476,Access Denied
svchost.exe,2520,Access Denied
svchost.exe,2564,Access Denied
svchost.exe,2604,Access Denied
svchost.exe,2628,Access Denied
dasHost.exe,2664,Access Denied
nvtray.exe,2672,DESKTOP-JV65JC9\SPD
svchost.exe,2720,Access Denied
svchost.exe,2936,Access Denied
svchost.exe,2948,Access Denied
svchost.exe,2956,Access Denied
opera.exe,3020,DESKTOP-JV65JC9\SPD
Memory Compression,3028,Access Denied
svchost.exe,3092,Access Denied
svchost.exe,3100,Access Denied
opera.exe,3132,DESKTOP-JV65JC9\SPD
NvBackend.exe,3164,DESKTOP-JV65JC9\SPD
sihost.exe,3196,DESKTOP-JV65JC9\SPD
chrome.exe,3204,DESKTOP-JV65JC9\SPD
ShellExperienceHost.exe,3328,DESKTOP-JV65JC9\SPD
svchost.exe,3332,Access Denied
svchost.exe,3344,Access Denied
OfficeClickToRun.exe,3456,Access Denied
svchost.exe,3460,Access Denied
svchost.exe,3480,Access Denied
svchost.exe,3488,Access Denied
igfxHK.exe,3496,DESKTOP-JV65JC9\SPD
jusched.exe,3568,DESKTOP-JV65JC9\SPD
SgrmBroker.exe,3584,Access Denied
svchost.exe,3596,Access Denied
svchost.exe,3604,Access Denied
